"season","date","fixture","total_goals","goal_margin","total_shots","excitement_score"
"2016-2017","2016-11-26",Swansea vs Crystal Palace,9,1,30.0,28.5
"2011-2012","2011-08-28",Man United vs Arsenal,10,6,44.0,26.9
"2007-2008","2007-09-29",Portsmouth vs Reading,11,3,38.0,26.8
"2023-2024","2023-11-12",Chelsea vs Man City,8,0,32.0,26.2
"2012-2013","2013-05-19",West Brom vs Man United,10,0,27.0,26.2
"2017-2018","2018-05-13",Tottenham vs Leicester,9,1,30.0,25.5
"2022-2023","2023-05-28",Southampton vs Liverpool,8,0,45.0,24.5
"2004-2005","2004-11-13",Tottenham vs Arsenal,9,1,20.0,24.5
"2008-2009","2008-10-29",Arsenal vs Tottenham,8,0,29.0,24.4
"2010-2011","2011-02-05",Newcastle vs Arsenal,8,0,29.0,24.4
"2009-2010","2009-11-22",Tottenham vs Wigan,10,8,39.0,24.4
"2004-2005","2005-01-22",Norwich vs Middlesbrough,8,0,39.0,24.4
"2011-2012","2012-04-22",Man United vs Everton,8,0,37.0,24.2
"2023-2024","2024-02-01",Wolves vs Man United,7,1,37.0,24.2
"2007-2008","2007-10-01",Tottenham vs Aston Villa,8,0,26.0,24.1
"2002-2003","2002-11-10",West Ham vs Leeds,7,1,31.0,24.1
"2007-2008","2007-12-29",Tottenham vs Reading,10,2,25.0,24.0
"2023-2024","2024-02-03",Newcastle vs Luton,8,0,30.0,24.0
"2007-2008","2007-12-26",Chelsea vs Aston Villa,8,0,23.0,23.8
"2013-2014","2013-12-04",Sunderland vs Chelsea,7,1,31.0,23.6
"2001-2002","2001-11-19",Charlton vs West Ham,8,0,29.0,23.4
"2015-2016","2016-01-23",Norwich vs Liverpool,9,1,19.0,23.4
"2016-2017","2017-05-15",Chelsea vs Watford,7,1,33.0,23.3
"2013-2014","2014-03-22",Cardiff vs Liverpool,9,3,28.0,23.3
"2016-2017","2017-02-04",Everton vs Bournemouth,9,3,33.0,23.3
"2012-2013","2012-12-26",Man United vs Newcastle,7,1,32.0,23.2
"2023-2024","2024-04-04",Chelsea vs Man United,7,1,47.0,23.2
"2020-2021","2021-02-02",Man United vs Southampton,9,9,27.0,23.2
"2016-2017","2017-03-04",Watford vs Southampton,7,1,36.0,23.1
"2012-2013","2012-12-29",Arsenal vs Newcastle,10,4,26.0,23.1
"2007-2008","2008-03-19",Tottenham vs Chelsea,8,0,20.0,23.0
"2011-2012","2012-04-28",Swansea vs Wolves,8,0,25.0,23.0
"2010-2011","2011-05-14",Blackpool vs Bolton,7,1,29.0,22.9
"2022-2023","2022-10-02",Man City vs Man United,9,3,34.0,22.9
"2014-2015","2014-08-30",Everton vs Chelsea,9,3,29.0,22.9
"2006-2007","2007-03-04",West Ham vs Tottenham,7,1,24.0,22.9
"2013-2014","2013-12-14",Man City vs Arsenal,9,3,34.0,22.9
"2018-2019","2019-01-19",Wolves vs Leicester,7,1,28.0,22.8
"2024-2025","2024-12-22",Tottenham vs Liverpool,9,3,33.0,22.8
"2020-2021","2020-10-04",Aston Villa vs Liverpool,9,5,32.0,22.7
"2021-2022","2021-12-26",Man City vs Leicester,9,3,31.0,22.6
"2010-2011","2011-01-02",Chelsea vs Aston Villa,6,0,31.0,22.6
"2016-2017","2016-08-14",Arsenal vs Liverpool,7,1,25.0,22.5
"2008-2009","2009-04-21",Liverpool vs Arsenal,8,0,30.0,22.5
"2024-2025","2025-02-23",Newcastle vs Nott'm Forest,7,1,30.0,22.5
"2003-2004","2004-02-22",Tottenham vs Leicester,8,0,24.0,22.4
"2004-2005","2005-04-30",Southampton vs Norwich,7,1,29.0,22.4
"2004-2005","2004-10-24",Newcastle vs Man City,7,1,27.0,22.2
"2017-2018","2018-01-14",Liverpool vs Man City,7,1,27.0,22.2
"2007-2008","2008-05-11",Middlesbrough vs Man City,9,7,27.0,22.2
"2024-2025","2024-10-05",Brentford vs Wolves,8,2,36.0,22.1
"2009-2010","2009-09-20",Man United vs Man City,7,1,31.0,22.1
"2008-2009","2008-11-01",Man United vs Hull,7,1,31.0,22.1
"2017-2018","2017-12-26",Bournemouth vs West Ham,6,0,36.0,22.1
"2024-2025","2024-12-08",Tottenham vs Chelsea,7,1,30.0,22.0
"2006-2007","2006-12-23",Arsenal vs Blackburn,8,4,29.0,21.9
"2004-2005","2004-08-30",Portsmouth vs Fulham,7,1,39.0,21.9
"2000-2001","2000-11-04",Leeds vs Liverpool,7,1,24.0,21.9
"2003-2004","2004-01-10",Blackburn vs Bolton,7,1,24.0,21.9
"2011-2012","2011-09-17",Blackburn vs Arsenal,7,1,34.0,21.9
"2005-2006","2006-02-01",Blackburn vs Man United,7,1,19.0,21.9
"2024-2025","2024-12-04",Newcastle vs Liverpool,6,0,33.0,21.8
"2007-2008","2007-12-15",Wigan vs Blackburn,8,2,18.0,21.8
"2015-2016","2015-11-01",Everton vs Sunderland,8,4,32.0,21.7
"2023-2024","2024-03-13",Bournemouth vs Luton,7,1,32.0,21.7
"2022-2023","2023-04-30",Liverpool vs Tottenham,7,1,22.0,21.7
"2022-2023","2022-11-05",Leeds vs Bournemouth,7,1,27.0,21.7
"2005-2006","2006-03-26",Middlesbrough vs Bolton,7,1,26.0,21.6
"2001-2002","2001-10-14",Blackburn vs West Ham,8,6,36.0,21.6
